trade_date,open,high,low,close,volume,amount,ma_5,ma_10,ma_20,ma_30,breadth,heat_z,etf_turnover
20190325,5521.251,5629.2277,5507.3576,5549.6711,178432937.0,166384283.611,5559.851,5493.38162,5354.351014999999,5118.350436666667,73.4,-0.20875217747934507,3.6553903631261013
20190326,5571.5251,5589.4127,5380.8535,5394.8787,176164730.0,160539919.363,5534.39072,5477.769200000001,5372.167775,5150.196893333333,43.0,-0.3383002711485053,5.515008476193344
20190327,5431.9779,5447.8795,5333.7848,5447.8795,144956608.0,134714503.064,5520.8095,5480.0707299999995,5393.66754,5181.37925,43.4,-1.0855283479457865,3.814859411008983
20190328,5432.9438,5487.7654,5370.1234,5370.1234,149261082.0,141312489.924,5476.93858,5487.23283,5410.909145,5209.311033333333,35.6,-0.9709866922362269,2.966496547296424
20190329,5370.4209,5550.7601,5346.2139,5547.6561,178333017.0,164954573.844,5462.04176,5506.09757,5434.9307,5244.141743333333,55.60000000000001,-0.3281183956342261,6.607608978870294
20190401,5591.6651,5763.5806,5591.6651,5757.8379,221181631.0,208464845.274,5503.67512,5531.76306,5464.91026,5280.703039999999,84.39999999999999,1.1446979587725519,4.236750065089112
20190402,5794.7878,5833.0223,5750.3296,5775.5497,228750284.0,216017608.687,5579.80932,5557.10002,5488.923355,5317.645243333333,85.0,1.2651348328947984,4.2092991133040165
20190403,5744.2215,5843.468,5724.1257,5836.0369,199104763.0,182304278.561,5657.440799999999,5589.125150000001,5511.22373,5356.5923299999995,88.8,0.20138657818891229,3.358164835090482
20190404,5868.3919,5894.9882,5813.4624,5871.5575,208834859.0,196845266.328,5757.727620000001,5617.3331,5531.8708400000005,5397.006143333334,88.4,0.7527882014362424,3.2784184684701874
20190408,5921.2105,5939.4979,5765.9069,5847.6296,238317466.0,222907102.713,5817.722320000001,5639.8820399999995,5561.967325,5432.683873333333,77.4,1.7246938950359723,4.501542345710344
20190409,5834.29,5877.84,5798.3736,5858.0464,179363502.0,169072553.747,5837.7640200000005,5670.719569999999,5582.050595000001,5459.807199999999,83.6,-0.18991213493752213,3.3050725378159673
20190410,5826.0258,5906.4273,5782.3689,5850.7609,178753607.0,172671580.647,5852.80626,5716.30779,5597.038495,5486.881113333334,80.80000000000001,0.02070116113477797,3.2289602930034436
20190411,5852.636,5866.9221,5720.5516,5727.1749,165876073.0,157397019.816,5831.0338600000005,5744.237330000001,5612.15403,5510.524136666666,66.60000000000001,-0.5011486857804051,3.2222818244673217
20190412,5720.0481,5749.3368,5673.7447,5714.3676,140078341.0,126121980.27,5799.595879999999,5778.66175,5632.94729,5533.493346666667,56.99999999999999,-1.5893157140654681,2.6269636819683613
20190415,5795.5011,5815.3916,5654.3441,5655.9825,157754136.0,147932909.424,5761.26646,5789.49439,5647.79598,5553.118596666667,46.400000000000006,-0.799533704914186,3.9285443770970176
20190416,5625.1221,5777.0111,5583.6142,5777.0111,156029632.0,147394539.976,5745.0594,5791.41171,5661.587385,5573.744076666667,62.2,-0.8005231947736806,4.421720562088501
20190417,5776.6352,5840.6249,5757.9952,5807.7288,169800155.0,158856829.046,5736.45298,5794.62962,5675.86482,5590.825443333333,66.8,-0.3879451529427753,3.250043404052451
20190418,5804.3014,5826.6736,5762.5678,5775.171,151322505.0,141406848.441,5746.0522,5788.54303,5688.834089999999,5603.663496666666,57.199999999999996,-1.0071842007236487,2.0007130621950573
20190419,5762.5009,5810.1798,5710.7953,5810.1798,148724289.0,133507304.0,5765.21464,5782.40526,5699.86918,5615.3823133333335,61.0,-1.17196558186089,2.7827525288159802
20190422,5821.0229,5824.5207,5704.9769,5723.0417,158161026.0,143410616.805,5778.62648,5769.946470000001,5704.914255,5631.293706666666,42.199999999999996,-0.7556784631185967,2.3908746484414944
20190423,5710.7334,5710.7334,5610.7353,5628.0624,149871461.0,133768248.902,5748.836740000001,5746.94807,5708.833820000001,5637.01642,27.0,-1.0114245782569513,2.600037163474171
20190424,5636.4016,5682.4788,5568.408,5679.7256,134784412.0,121970724.631,5723.2361,5729.84454,5723.076165,5641.307176666667,30.8,-1.28954722969007,4.092354243081774
20190425,5652.0056,5662.7898,5457.8254,5458.4194,151401718.0,132098714.891,5659.88578,5702.96899,5723.60316,5642.425683333333,12.8,-0.9471318651540748,3.6203821844738173
20190426,5427.6228,5496.0353,5407.1942,5408.0306,124279880.0,108970816.46,5579.45594,5672.33529,5725.498519999999,5646.0766233333325,9.2,-1.55694872764972,3.9264191692881436
20190429,5405.1641,5421.6568,5252.0486,5265.6011,138672387.0,119713196.26,5487.96782,5633.29715,5711.39577,5642.963036666666,6.800000000000001,-1.11514092385486,6.939223988017939
20190430,5244.0447,5349.9438,5244.0447,5307.56,102190340.0,90849649.254,5423.86734,5586.35204,5688.881875,5636.508936666666,7.6,-1.7590543109065468,4.246523066635832
20190506,5122.4696,5125.1616,4874.6433,4908.7984,143386233.0,116597523.172,5269.6819000000005,5496.459,5645.54431,5616.0628799999995,3.4000000000000004,-0.9400247222115965,8.466388754194247
20190507,4933.0425,4990.1939,4886.0568,4973.4043,116573687.0,97660954.76,5172.67888,5416.28233,5602.412679999999,5597.983503333334,5.6000000000000005,-1.3819358521239695,5.004557389151882
20190508,4865.7878,5028.526,4842.5603,4947.7419,107738121.0,88503433.406,5080.62114,5330.03854,5556.2219,5576.5923,4.809619238476954,-1.5279530152371104,3.732030361959229
20190509,4897.9781,4955.7835,4879.6945,4888.4128,90934656.0,75438861.419,5005.18348,5246.57565,5508.26106,5552.13472,2.80561122244489,-1.9816850520734952,3.793199832341665
20190510,4940.4814,5064.323,4842.6072,5064.323,122177483.0,103926817.467,4956.53608,5190.20171,5468.57489,5535.95645,7.214428857715431,-0.8469871326232765,5.70134580821455
20190513,5009.4748,5040.5037,4985.1882,5005.9044,91736394.0,81269399.675,4975.95728,5122.819590000001,5426.3320650000005,5522.99064,7.8156312625250495,-1.5821361796197897,3.6447327213029013
20190514,4942.3937,5018.4131,4941.9271,4965.6124,87540969.0,78269150.192,4974.3989,5073.53889,5388.2539400000005,5506.91507,7.414829659318638,-1.5292816885731475,2.4783906385223333
20190515,5002.6051,5086.7298,4999.3368,5076.555,97463860.0,88150026.771,5000.16152,5040.39133,5356.363310000001,5497.129456666667,12.625250501002002,-1.0396072020168454,2.667957675149544
20190516,5071.1085,5118.4448,5059.2068,5108.3588,104422166.0,91206178.691,5044.150720000001,5024.667100000001,5328.9821249999995,5482.486213333334,16.83366733466934,-0.8356014209384139,5.5816104263044855
20190517,5112.2411,5116.9934,4923.6727,4942.5792,119071213.0,103931108.299,5019.80196,4988.16902,5287.2605300000005,5455.310923333333,11.422845691382765,-0.2685189414013784,2.6671770983167624
20190520,4937.1767,4947.7455,4835.8087,4923.5589,95686497.0,84271517.275,5003.33286,4989.6450700000005,5243.052035000001,5426.91123,11.823647294589177,-1.0129509073354754,3.0026295323233785
20190521,4917.3424,5026.2842,4904.8232,5009.8725,100837073.0,91301255.168,5012.18488,4993.29189,5204.78711,5399.372416666667,17.635270541082164,-0.6204099232852389,3.2646261504656904
20190522,5002.1602,5018.1092,4941.0098,4976.3929,94092709.0,86507936.443,4992.15246,4996.15699,5163.097765,5369.533596666666,18.837675350701403,-0.7685229388471322,2.19684865690007
20190523,4955.2522,4957.9863,4860.1881,4872.9202,90563681.0,82582767.292,4945.06474,4994.607730000001,5120.59169,5337.043283333333,15.230460921843688,-0.909618771891468,2.3884434040948803
20190524,4848.5757,4892.4587,4831.3352,4841.7573,77933436.0,69305381.771,4924.900360000001,4972.35116,5081.276435,5303.16698,13.226452905811623,-1.543944621201787,2.9585341431418573
20190527,4848.6417,4974.2676,4824.142,4962.947,93076414.0,81678357.211,4932.777980000001,4968.05542,5045.437505,5273.573183333332,28.45691382765531,-0.739976057579781,4.034698669564595
20190528,4965.5908,5002.2491,4933.8967,4955.4855,90263989.0,83641973.469,4921.9005799999995,4967.04273,5020.29081,5247.850203333333,30.26052104208417,-0.5607067814781382,2.8813470499780025
20190529,4943.5678,4992.9887,4930.4307,4956.8638,85876852.0,78641296.291,4917.99476,4955.07361,4997.732470000001,5222.600076666667,35.47094188376754,-0.845093235121662,3.3618977475191056
20190530,4933.5006,4933.8544,4865.7753,4926.403,94779602.0,80822550.059,4928.69132,4936.87803,4980.772565000001,5198.28076,33.26653306613226,-0.6225593206790234,2.026597682638992
20190531,4923.9199,4969.0513,4902.7379,4912.0005,86716729.0,75731116.074,4942.739960000001,4933.82016,4960.99459,5169.447073333333,34.06813627254509,-0.9878324063603275,2.124609781043238
20190603,4921.7084,4942.0652,4838.3523,4853.8153,98540830.0,83580691.984,4920.91362,4926.8458,4958.245435,5137.649956666666,26.853707414829657,-0.19333649435275216,2.3160214373690087
20190604,4847.6634,4853.8105,4768.0393,4795.4129,86751653.0,77250794.625,4888.8991000000005,4905.39984,4949.345865,5104.991353333334,20.64128256513026,-0.812157745208712,3.357603296840484
20190605,4837.895,4850.8038,4777.9781,4783.8245,81300165.0,72772853.683,4854.2912400000005,4886.143,4941.149995000001,5070.779509999999,21.24248496993988,-1.1952329238438804,2.3801733661696427
20190606,4776.4896,4776.6879,4668.5413,4678.7844,83416931.0,70429637.482,4804.767519999999,4866.72942,4930.668575000001,5035.970933333333,12.625250501002002,-1.3817277701837754,3.2357247564536733
20190610,4693.7633,4750.5423,4662.7808,4725.2643,73361381.0,63265364.509,4767.42028,4855.0801200000005,4913.71564,5005.877663333333,18.03607214428858,-2.0023341243008455,2.9496022836561604
20190611,4730.8093,4903.8673,4728.4832,4901.4723,116811446.0,99669915.566,4776.95168,4848.932650000001,4908.494035,4979.935886666667,46.893787575150306,1.7742372785501184,3.8623558044445105
20190612,4889.3606,4917.0919,4852.9834,4863.4922,107847561.0,94685225.285,4790.56754,4839.733319999999,4903.388025,4960.10498,38.877755511022045,1.1471571532285965,2.705618395156359
20190613,4855.5398,4892.5811,4831.5194,4877.6505,96172538.0,79697102.665,4809.33274,4831.81199,4893.4428,4942.425643333334,45.09018036072144,-0.2806519487573323,2.0726102627121255
20190614,4880.2264,4893.9284,4786.195,4795.5267,102803894.0,83140662.638,4832.681200000001,4818.72436,4877.801195,4926.756496666667,27.054108216432866,0.0999609897435742,2.3543137173913986
20190617,4796.1203,4826.5959,4779.6429,4802.8185,73361138.0,64090002.526,4848.19204,4807.80616,4870.81316,4909.93178,30.861723446893784,-1.7208074518820344,2.140673484121034
20190618,4804.3018,4825.6252,4773.5495,4797.1468,66523897.0,56694905.767,4827.326940000001,4802.13931,4864.492555,4906.21006,31.663326653306612,-2.0751741846134797,2.176157849537538
